m.a.	sítil dømis
mussast	síkyssa
mussi	símunnur
mussiligur	síkyssa
mussing	síkyssa
mussur	síkossur,munnur
muta	síteska
mutan	símótmæli
mutast	sískeldast
mutl	sítesk
mutla	sígreiða frá,teska
mutlan	sítesk
mutra	símutur
mutur	Samheiti:agn,gularót,órættarlønpengar undir borðið, borðinum(blóðpengar)blóðpeningur(mutra)egna,undirstingaegna e-n;geva mutur(lata seg mutra)taka ímóti mutri(muturspiltur)spiltur av mutri↔lokkuboppa
muungi	síkópur
múgva	sínøgd
múgvaður	síríkur
múgvandi	síríkur
múgvi	sínøgd
múgvin	síríkur
múgvinskapur	síogn
múla	sígráta
múlabein	símunnur
múlabinda	símálbinda
múlabundin	símálbundin
múlasíður	sívreiður
múlaskoyti	sískoyti
múlast	sígráta,ilskast
múlatrantur	sílúnuskøltur
múlatrút	sílúnuskøltur
múlatrútin	sívreiður
múlbein	símunnur
múlbinda	símálbinda
múlbundin	símálbundin
múldjór	síross
múlesil	síross
múlgráur	sílitaður
múlhvítur	sílitaður
múli	síberg,nøs,oddur
múllitaður	sílitaður
múllittur	sílitaður
múlmorreyður	sílitaður
múlsvartur	sílitaður
múlutur	sívreiður
múnja	sílita,pensla
múra	síbyggja
múrgirdur	síavbyrgdur
múrur	sígarður,veggur
músa	síknúsa
músabróðir	sífuglur
músafella	sífella
músafríur	síuppfiskaður
músageldari	síknívur
músahol	síhol
músahola	síreiður
músakattur	síketta
músakorn	síeitur
músalortur	sílortur
músareiður	síreiður
músarlabbi	sífótur
músaskarn	sílortur
músatitan	sígonga
músatættur	sítættur
músetin	sígnaga
músutur	sílitaður
músvákur	sífuglur
mvg	sígjald
mykineskyrra	sígóðveður
mykinesoksi	síneyt
mykja	síkøstatøð,lortur
mykjudyngja	sílortur
mykjukøstur	sígoymsla
mykjulaga	sílortur
mykjuløga	sílortur
mykjuroykur	síluktur
mykjutøð	síkøstatøð
myla	síknúsa
mylda	sídyrka,knúsa
myldingstorv	síbrenni
myldingur	síbrenni,mógvur
mylgra	síknúsa
mylja	sígnaga,knúsa
mylkin	síjúgrast
mylkjast	síjúgrast
mylluhús	síbygningur
myllusteinur	sígrót
myllustreymur	sístreymur
mylluvatn	sívatn
mylnusteinur	sígrót
mynd	síallýsing,ímyndSamheiti:andlitsmynd,bílæt,bílæti,blýantstekning,bringumynd,brotamynd,byggitekning,farmynd,farstrika,flatatekning,flatmynd,frummynd,glansbílæti,glansmynd,glæra,glærmynd,glæstrimynd,grafikkur,grafitttekning,halgimynd,heilsíðumynd,húsatekning,innanhýsismynd,innanmynd,kálkmálningur,kápumynd,keipumynd,koltekning,koparstunga,kyrrlutamynd,landslagsmálningur,landslagsmynd,litmynd,loftmynd,mansmynd,málningur,myndarøð,myndastílur,myndatalva,myndatilfar,myndatjald,myndrond,nærmynd,oljumálningur,pappírsklipp,passmynd,pennatekning,permumynd,plakát,postalínsmálningur,postalínsmynd,rangmynd,ritmynd,savnsmynd,sjálvsmynd,skavmynd,skemtitekning,skíggjamynd,skreytmynd,skuggamynd,smámynd,spegilmynd,spegilsmynd,speimynd,stabbamynd,steinprent,strikumynd,strikutekning,støðumynd,tekning,tvørskurður,uppdráttur,vangamynd,vatnlitamálningur,vatnlitamyndavtikin mynd;heilmynd t.e. rúmtøk mynd(filmur)heimildarkykmynd,kykmynd,leikfilmur,litfilmur,ljósbílæti,ljósmynd,smalfilmur,spælifilmur,stórfilmur,stuttfilmur,teknifilmurlivandi myndir(listaverk)listvevnaður,myndvevnaðurvovin mynd(røntgenmynd)mynd sum er tikin gjøgnum heilt(standmynd)høggmynd,krossmynd,skurðmynd,steinmynd,stevnismynd(prentmót)prentmynd(hellurista)klettrista↔avmynda,eftirgerð,list,útskering
mynda	síarbeiða,avmynda,endurgeva,forma
myndablað	sískriv
myndabók	sískriv
myndabragð	sílótir
myndabrá	sílótir
myndagáta	síloynidómur
myndahús	síbygningur
myndalist	sílist
myndamál	sítungumál
myndarligur	síímyndarligur
myndarlíki	síeftirgerð
myndartekstur	síáskrift
myndarøð	símynd,riðil
myndasavn	sígoymsla
myndaskurður	síútskering
myndastílur	símynd
myndasøga	sífrásøgn
myndatalva	símynd
myndatilfar	símynd
myndatjald	símynd
myndatøka	Samheiti:avmyndan,avtaking↔avmynda
myndborin	síímyndarligur
myndigur	sítilkomin
myndil	síeftirgerð
myndligur	síímyndarligur
myndlist	sílist
myndlíki	síeftirgerð
myndprýða	sípynta
myndrond	símynd
myndskrýða	sípynta
myndugleikatrúgv	sísannføring,undirlutakensla
myndugleiki	símikilleiki,vald
myndugur	sítilkomin
myndvevnaður	símynd
mynna	síkyssa
mynnast	síkyssa
mynstraður	símynstrutur
mynstrutur	Samheiti:gjøgnummynstraður,gronutur,mynstraður,mynsturbundin,stórflennutur,stórmynstraður,stórmynstrutur,tvíbundinvið mynstri (í)↔litaður,prikkutur,puntutur,stríputur
mynstur	sífyridømi
mynsturbundin	símynstrutur
mynsturgarður	síbústaður
mynt	sípeningur
myntasavn	sígoymsla
mynteind	sípeningur
myntur	sípeningur
myrða	síavlíva
myrðari	sídrápsmaður
myrðiliga	sísára
myrðing	sídráp
myrðingarhugur	sítýningarhugur
myrisnípa	sífuglur
myrivongur	sívánamaður
myrja	síavlíva,grót
myrkabláur	sílitaður
myrkabrúnur	sílitaður
myrkadumba	síavlop,sindur
myrkagráur	sílitaður
myrkagrønur	sílitaður
myrkajarpur	sílitaður
myrkakamar	síhøli
myrkalegging	síavmyrking
myrkaleggja	sílita
myrkamorreyður	sílitaður
myrkareyður	sílitaður
myrkaræddur	síbangin
myrkaræðsla	síræðsla
myrkaskot	síhøliSamheiti:kirkjuskot,skot,skúmaskot,skýmaskot↔gjøgnumgongd
myrkhærdur	sílitaður
myrking	síavmyrking,døkki,myrkur,skuggi
myrkingartjald	síforhang
myrkja	síavlitkast,dimma,hindra,lita
myrkjast	sídimma
myrkklæddur	síílatin
myrkleittur	sílitaður,tokutur
myrkligur	sílitaður,tokutur
myrkna	síavlitkast,dimma,draga á luftina
myrkoygdur	sílitaður
myrkur	sídimmi,litaður,toka,tokutur,veðurringurSamheiti:almyrking,almyrkur,bikamyrkur,blániða,blániðudagur,bølamyrkur,bølanátt,bølaniða,bølmyrkur,bølniða,deyðamyrkur,dimmi,hálvmyrkur,kavmyrkur,kolamyrkur,kolaniða,kolmyrkur,kvøldmyrkur,midnáttarmyrkur,morgundimmi,myrking,náttardimmi,náttargríma,náttarmyrkur,náttmyrkur,niða,niðamyrkur,trøllamyrkur,tussaniða,vetrarmyrkurbikandi svørt niða;blá niða;deyðans myrkur;fullkomin myrking;kolsvart myrkur;svarta myrkur;(tann) bláa, dimma, døkka, kolsvarta, myrka, stumma, svarta nátt(illlýsi)dimmlýsi,hálvmyrkur,meinsýni,ósýniringt, vánaligt sýni, útsýni, ring útsjón;□har er ikki útsýnt(skýming)skýmd,skýmind↔avlitkast,avmyrking,dæmdur,døkki,litaður,skuggi,tokuturAndheiti:ljósglæma
myrkursgerð	síbrotsverk
myrla	síknúsa
myrra	síbúkilska,dálk,skíta
myrrusnípa	sífuglur
mysing	sístreymur
mysingardagur	sístreymur
mysingarfjøra	sífjøra
mysingarflóð	síflóð
mysutur	sílitaður
mýggjabit	sísár
mýkindi(r)	síafturhald
mýkja	síeyðmýkja,gníggja
mýkja limirnar	sírembast
mýla	síbrýna,gnaga,óhvassur,reypa
mýldur	síóhvassur,rundur
mýra	síkelda
mýri	síkelda
mýrihagi	síjarðarstykki
mýrikendur	síbleytlendur
mýrilendi	síkelda
mýrimosatorv	síbrenni
mýrimyldingur	símógvur
mýripinnur	sípinkulingur
mýrisnípa	sífuglur
mýrivongur	sívánamaður
mýrutur	síbleytlendur
mýsutur	sílitaður
mýta	sífrásøgn
mæ	síseyður,skríggj
mæki	síknívur
mækjubátur	sísjófar
mæla	sísiga
mæla frá	síforbjóða
mæli	sírødd
mæling	síjarðarstykki
mælingur	síjarðarstykki
mælskur	símálmikil,munnkátur,møsnutur
mæltur	Samheiti:djúpmæltur,fastmæltur,fínmæltur,grovmæltur,harðmæltur,hámæltur,hvinmæltur,hvinutur,javnmæltur,klármæltur,klænmæltur,kurrmæltur,kveinin,lágmæltur,málveikur,mjúkmæltur,nasmæltur,reinmæltur,ristmæltur,smørmjúkur,snjallur,songhagur,tjúkkmæltur,tómmæltur,tungmæltur,veikmæltur,vælmælturhvinutur, hvínandi á málinum;ramur, rámur á málinum;tjúkkur á málinum;undarliga mæltur;við djúpari, grovari, køvdari rødd;○sum hevur klænt, kyrkt, lágt mál;sum hevur tarvamál(avmæltur)hásin,hásmæltur,hásur,hægsmæltur,hæsmæltur,kyrktur,kyrpturfarin av málinum;hásin, hásur, kyrktur á málinum;hásur sum ein dunnusteggi, gásarsteggi, steggi;○sum hevur fingið hæsi, rym;sum hevur mist málið;□kúgvin hæsir so illa t.e. hevur trongd(nótaleysur)hvassur,ísakaldurvið ongum máli, nóta, tóna;○sum hevur ringa útvarpsrødd;sum syngur falskt, syngur øðrumegin við;□hann beljar sum kálvur, er sum kálvur í flóri;hann eigur, hevur ikki nóta, tóna skaptan í heysinum, høvdinum;hann er nótaprikkur t.e. dugir ikki at syngja, hevur einki mál;hann er sum (hálv)kvaldur dunnusteggi;hann hevur reyðfiskamál;málið er sum í kálvi, sandflundru(vælmæltur)hámæltur,høgmæltur,nótafastur,snjallur,songhagur,songnæmur,tónafastur,tónanæmurhvøllur, høgur á málinum;við høgari rødd, høgum máli;○sum dugir at halda nótan(um), er fastur á nótanum;sum hevur gott, hart, høgt, klingandi, snjalt, sterkt mál;sum hevur vakra lund;sum syngur reint, ikki fer av málinum, nótanum;□hann hevur eitt stálbróst;hann hevur góða útvarpsrødd;hann hevur óstrið til;hann hevur sterkt bróst;tað er eitt óstur hann hevur↔hæsi,málmikil,rødd,skríggj,skríggja,syngja
mær vitandi	alt tað eg havi frætt, hoyrt...;mær kunnigt, kunnugt;skal eg siga mína meining so...;sum eg veit um;tað eg veit...↔frættast
mæti	síheiður,mikilleiki
mætur	sídáma,hábærsligur,hóskiligur
mø	sískríggj
møddur	síútmøddur
møða	símáttsúgva
møðandi	sítorførur
møðast	sítroyttast
møðgur	sípar,skyldfólk
møði	síbaksan,máttloysi
møðibundin	sísjúkur
møðigur	síútmøddur
møðiligur	sítorførur
møðimikil	sítorførur
møðisamur	sítorførur
møðisligur	sítorførur
møðraveldi	sívald
møðsamliga	síógjarna
møðsamur	sítorførur
møðumikil	síútmøddur
møggutur	síilla ílatin
møguleiki	sílíkindi(r)
møguliga	síkanska
møguligur	síatkomandi,sannur
møgutur	sílitaður
møka	síóflýggjakroppur
møkuveður	sígóðveður
møl	sígrót,strond
møletin	síholutur
mølheyggjur	sífjall
mølkúla	síeitur
mølm	síslatur,tesk
mølma	síteska,vísa á
mølman	sítesk
mølur	sígrót
mølv	sílitevni,smildur
mølva	síknúsa
mølvaður	sísmákornutur
møna	síkjala
mønhoyggj	síhoyggj
mønubrestur	síendi
mønufaks	síhár,ull
mønuflag	síflag
mønuhvítur	sílitaður
mønuserkur	síhinna
mønusjúka	sísjúka
mønusóttarseyður	síseyður
mønustinga	síavlíva
mønustingur	sídeyðamein,endi
mønutorv	síbrenni
mønutorva	síflag
møplar	síhúsbúni
mørføtur	símatarbót
mørk	síjarðarstykki,peningur
mørknetti	sípinkulingur
mørligur	síhovin
mørna	sírotna
mørnaður	sírotin
mørur	sífitievni,sinnalag
møsn	símøsnariSamheiti:babb,babl,bjór,blarv,boksl,brennivínssvarv,brongl,brongul,bull,dreiv,fullamannatvass,fuss,gamlamannamøsn,geggj,goff,góðpjátur,høpisloysi,jangl,kák,kákan,kjaftaslit,kjarr,kroyst,mas,orðageip,orðaskolan,orðaskvaldur,orðavas,orðavavstur,orðskvaldur,óðamannatos,pjátran,pjátur,pjøpp,roks,ront,sjagg,sjóð,skilaloysi,skol,skvaldur,sógv,suss,svarv,svass,tátugreytur,tístran,tómorð,tutl,tutlan,tvass,tvætl,tvætlan,tvørball,vitloysi,vrevl,vøs,øltos,ørskutala,ørvitistos,ørvitistvætlber orð;fyndarleyst tos;høpisleys, ógreið, ørvitislig  tala;roks og koks;tað bera, reina møsn, skvaldur, tvass o.fl.;tey beru orð↔barnaskapur,býttisskapur,býttlingur,endurtaka,endurtøka,møsna,møsnari,møsnutur,tápuligur,tos
møsna	síendurtakaSamheiti:babba,babla,balla,blabba,blabra,blarva,blavra,boksla,brabba,bulla,dreiva,fjøssa,fussa,gáka,goffa,gogga,gorra,góka,góla,hurra,káka,kjarra,koksa,masa,pjátra,pjøppa,roksa,ronta,rontra,rusa,sjagga,sjarra,sjóða,skjaldra,skola,skúma,skvaldra,slafsa,slapsa,sleiva,smásjóða,sógva,sussa,svabba,svarra,svarva,svassa,svábba,tístra,tutla,tutra,tvaða,tvagla,tvassa,tvætla,tvætta,tøsa,vevja,vrevla,vøsa,øsnabrúka, mýkja, skræða seg;sita og sjavast;snakka, tosa fyri tonnum;tala sum ein fávitska;tosa býtt, býttisliga;tosa við ongum skili;□tú talar sum tú ert trantaður til↔endurtaka,endurtøka,møsn,møsnari,møsnutur,siga,umaftur
møsnari	Samheiti:fuss,gap,gorr,hurr,hurrikanna,jagg,jagl,kokk,koks,masafjasa,munnskvaldur,møsn,pjøpp,prátari,roks,skol,skolhelli,surr,suss,sussa,svass,tvass,tvætl,vas,vrevl,vøseitt gamalt møsn;eitt sum aldri, ikki, ongantíð tagnar, tegir, tigur;eitt sum møsnar, tvassar o.fl.↔møsn,møsna,møsnutur
møsnutur	Samheiti:gorrutur,gorutur,kúsutur,masutur,málskur,mælskur,roksutur,skolutur,sussutur,svassutur,tómorðaður,tvassutur,tvætlutur,vøsutur,øsnutur↔møsn,møsna,møsnari
møta	síhenda,hindra,nærkast
møtast	síhópast
møti	síafturhitting,fundur,hindur
møtimikil	sítorførur
møtisalur	síhøli
møtiskylda	sískylda
møtismikil	sítorførur
møtlaspenni	sílás
møtrikur	sínagli
